,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Apoa1,2.47207479856587e-28,2.54998202286256,1,0.239,3.33087358358766e-24,Periportal (PP) hepatocyte(Liver),Apoa1
Fah,2.75280845486867e-28,0.450719125191679,0.522,0.043,3.70913411209005e-24,Periportal (PP) hepatocyte(Liver),Fah
Sec14l2,4.06660958285158e-28,0.420459952102041,0.391,0.025,5.47934975193421e-24,Periportal (PP) hepatocyte(Liver),Sec14l2
Glyat,5.15392622630924e-28,0.325961202542792,0.435,0.03,6.94440019732907e-24,Periportal (PP) hepatocyte(Liver),Glyat
Acox1,5.38838839291042e-28,0.455551271913311,0.652,0.067,7.26031452060749e-24,Periportal (PP) hepatocyte(Liver),Acox1
Slc25a47,5.14264802317916e-27,0.307996077923257,0.348,0.02,6.9292039464316e-23,Periportal (PP) hepatocyte(Liver),Slc25a47
Ttr,6.20524557275542e-27,2.39117991643926,1,0.257,8.36094788473066e-23,Periportal (PP) hepatocyte(Liver),Ttr
Hagh,1.56307767128876e-26,0.496201577876186,0.565,0.054,2.10609085429447e-22,Periportal (PP) hepatocyte(Liver),Hagh
Alb,1.75023395911932e-26,3.37518651248872,1,0.265,2.35826523651737e-22,Periportal (PP) hepatocyte(Liver),Alb
Scp2-ps2,2.14721457800598e-26,0.277581602621813,0.348,0.02,2.89315692240526e-22,Periportal (PP) hepatocyte(Liver),Scp2-ps2
Ephx2,2.20907985834682e-26,0.389199247031568,0.391,0.026,2.9765142011365e-22,Periportal (PP) hepatocyte(Liver),Ephx2
Fn1,8.07329949068174e-26,0.338767736590011,0.348,0.021,1.08779637337446e-21,Periportal (PP) hepatocyte(Liver),Fn1
Sult2a1,3.10607502510046e-25,0.481237615622639,0.435,0.034,4.18512548882035e-21,Periportal (PP) hepatocyte(Liver),Sult2a1
Pnpla7,4.38913881974188e-25,0.303119100843753,0.391,0.027,5.91392564572021e-21,Periportal (PP) hepatocyte(Liver),Pnpla7
Apoa2,5.19848968058201e-25,2.1753462489429,1,0.284,7.0044449956162e-21,Periportal (PP) hepatocyte(Liver),Apoa2
Aldh1l1,1.10686371524094e-24,0.3815161887133,0.435,0.034,1.49138816991565e-20,Periportal (PP) hepatocyte(Liver),Aldh1l1
Psen2,2.26994657178018e-24,0.548972105533023,0.609,0.07,3.05852601081662e-20,Periportal (PP) hepatocyte(Liver),Psen2
Pipox,1.3047212765466e-23,0.251265739233498,0.261,0.013,1.75798144801889e-19,Periportal (PP) hepatocyte(Liver),Pipox
Cdo1,1.83937170993248e-23,0.520754465724073,0.609,0.069,2.47836944196303e-19,Periportal (PP) hepatocyte(Liver),Cdo1
Tmem205,2.82456106222352e-23,0.606501949009898,0.565,0.064,3.80581357523997e-19,Periportal (PP) hepatocyte(Liver),Tmem205
Retsat,3.64000251303335e-23,0.27469303267644,0.348,0.023,4.90453938606114e-19,Periportal (PP) hepatocyte(Liver),Retsat
Apoc1,3.04906868909024e-22,1.4629558498513,1,0.304,4.10831515168019e-18,Periportal (PP) hepatocyte(Liver),Apoc1
Tst,5.6579640202768e-22,0.270265307931129,0.348,0.025,7.62354072092096e-18,Periportal (PP) hepatocyte(Liver),Tst
Dpys,6.38854747336202e-22,0.277581602621813,0.304,0.019,8.60792886560799e-18,Periportal (PP) hepatocyte(Liver),Dpys
Dbi,9.74422496335464e-22,0.97168444282249,0.957,0.232,1.3129368715624e-17,Periportal (PP) hepatocyte(Liver),Dbi
Ahcy,9.94584257456821e-22,0.357131399691936,0.391,0.032,1.34010282849732e-17,Periportal (PP) hepatocyte(Liver),Ahcy
Ddt,1.07279146731941e-21,0.59338284421998,0.565,0.067,1.44547922306617e-17,Periportal (PP) hepatocyte(Liver),Ddt
Cat,1.33438284477924e-21,0.624620372370885,0.783,0.128,1.79794744505555e-17,Periportal (PP) hepatocyte(Liver),Cat
mt-Nd5,5.74962070311022e-21,0.943390997029991,0.739,0.126,7.74703893537071e-17,Periportal (PP) hepatocyte(Liver),mt-Nd5
Trf,6.26010876776014e-21,1.82215337492206,0.957,0.331,8.43487055368001e-17,Periportal (PP) hepatocyte(Liver),Trf
Bphl,1.44243097698331e-20,0.326180621084539,0.391,0.033,1.94353149838731e-16,Periportal (PP) hepatocyte(Liver),Bphl
Gstz1,1.73058116187946e-20,0.293874042699702,0.391,0.033,2.33178505751638e-16,Periportal (PP) hepatocyte(Liver),Gstz1
Cbs,6.23215871696451e-20,0.277359108461367,0.304,0.021,8.39721065523798e-16,Periportal (PP) hepatocyte(Liver),Cbs
Sephs2,1.35738139037231e-19,0.363743722660188,0.478,0.051,1.82893568538765e-15,Periportal (PP) hepatocyte(Liver),Sephs2
Coq8a,6.42807679344052e-19,0.275580935065516,0.304,0.022,8.66119067148176e-15,Periportal (PP) hepatocyte(Liver),Coq8a
Scp2,1.11933163858107e-18,0.700598807678114,0.783,0.151,1.50818744982413e-14,Periportal (PP) hepatocyte(Liver),Scp2
Cisd1,2.02578018349955e-18,0.363314169388978,0.478,0.055,2.72953621924729e-14,Periportal (PP) hepatocyte(Liver),Cisd1
Rgn,2.42547292545435e-18,0.487654517297728,0.435,0.047,3.26808221975719e-14,Periportal (PP) hepatocyte(Liver),Rgn
Stard10,7.5871135167629e-18,0.39084106221836,0.435,0.047,1.02228767524863e-13,Periportal (PP) hepatocyte(Liver),Stard10
Qsox1,2.24167811458204e-17,0.274027622870364,0.304,0.024,3.02043709158785e-13,Periportal (PP) hepatocyte(Liver),Qsox1
Phyh,2.46920057043313e-17,0.588448242091391,0.609,0.097,3.32700084860159e-13,Periportal (PP) hepatocyte(Liver),Phyh
Asl,6.00367114962363e-17,0.377152228045562,0.391,0.041,8.08934650700288e-13,Periportal (PP) hepatocyte(Liver),Asl
Acadm,1.73747819229146e-16,0.337983730277802,0.435,0.051,2.34107811629351e-12,Periportal (PP) hepatocyte(Liver),Acadm
Hadh,1.82107000077025e-16,0.265197543422092,0.348,0.033,2.45370971903783e-12,Periportal (PP) hepatocyte(Liver),Hadh
Gamt,2.13579152940477e-15,0.260592777035344,0.348,0.035,2.87776550671999e-11,Periportal (PP) hepatocyte(Liver),Gamt
Adk,2.25565890888373e-15,0.280164764774669,0.391,0.044,3.03927481382994e-11,Periportal (PP) hepatocyte(Liver),Adk
Haao,3.18641254202323e-15,0.380423411858843,0.348,0.036,4.29337225912209e-11,Periportal (PP) hepatocyte(Liver),Haao
Acadvl,3.46541467444577e-15,0.284930804992261,0.391,0.045,4.66929973234823e-11,Periportal (PP) hepatocyte(Liver),Acadvl
Acsl1,4.70042425279099e-15,0.32355077078515,0.348,0.037,6.33335163821058e-11,Periportal (PP) hepatocyte(Liver),Acsl1
Sult1a1,5.06949186360819e-15,0.436435693768169,0.609,0.105,6.83063333702567e-11,Periportal (PP) hepatocyte(Liver),Sult1a1
Vkorc1,2.19345514198793e-14,0.389983061307723,0.435,0.059,2.95546145831454e-10,Periportal (PP) hepatocyte(Liver),Vkorc1
Etfa,2.81634114428564e-14,0.375297259431804,0.478,0.07,3.79473805781048e-10,Periportal (PP) hepatocyte(Liver),Etfa
Aldh7a1,6.02004291769763e-14,0.258625778258857,0.348,0.039,8.11140582730579e-10,Periportal (PP) hepatocyte(Liver),Aldh7a1
Cyb5a,3.07430413048861e-13,0.648089678589958,0.87,0.268,4.14231738542035e-09,Periportal (PP) hepatocyte(Liver),Cyb5a
Rnase4,4.58080993739171e-13,0.495772485400175,0.391,0.054,6.17218330964159e-09,Periportal (PP) hepatocyte(Liver),Rnase4
Qdpr,5.16787564695276e-12,0.362491374343722,0.478,0.082,6.96319564670415e-08,Periportal (PP) hepatocyte(Liver),Qdpr
Mpc1,5.46404440390425e-12,0.303615115975681,0.391,0.056,7.36225342982059e-08,Periportal (PP) hepatocyte(Liver),Mpc1
Paics,2.16673028064978e-11,0.290612694702964,0.435,0.071,2.91945238014752e-07,Periportal (PP) hepatocyte(Liver),Paics
Hmgcs1,4.32204191360475e-11,0.257970970857964,0.304,0.038,5.82351927439104e-07,Periportal (PP) hepatocyte(Liver),Hmgcs1
Eci1,6.45424784468049e-11,0.258625778258857,0.304,0.038,8.69645354592249e-07,Periportal (PP) hepatocyte(Liver),Eci1
Hist1h2bc,7.35286428651825e-11,0.484215654800878,0.522,0.11,9.90724933965469e-07,Periportal (PP) hepatocyte(Liver),Hist1h2bc
Dap,1.51609792535784e-10,0.313501400518612,0.435,0.077,2.04279034462715e-06,Periportal (PP) hepatocyte(Liver),Dap
Ndufa4,3.21855230198474e-10,0.50473744208458,0.826,0.278,4.33667737169424e-06,Periportal (PP) hepatocyte(Liver),Ndufa4
Apoe,1.14634973079344e-09,0.638915269443543,1,0.967,1.54459162727108e-05,Periportal (PP) hepatocyte(Liver),Apoe
Tecr,1.54476954870315e-09,0.335990643903037,0.435,0.085,2.08142248992263e-05,Periportal (PP) hepatocyte(Liver),Tecr
Ccs,2.60739585097665e-09,0.283628721474963,0.304,0.045,3.51320516960594e-05,Periportal (PP) hepatocyte(Liver),Ccs
Gpx1,3.11782458745871e-09,0.683668299780189,0.913,0.372,4.20095684914187e-05,Periportal (PP) hepatocyte(Liver),Gpx1
Gstp1,4.1053710995015e-09,0.252530852991361,0.304,0.046,5.53157701946833e-05,Periportal (PP) hepatocyte(Liver),Gstp1
Prdx41,4.64925554295352e-09,0.256880577117827,0.391,0.071,6.26440691857557e-05,Periportal (PP) hepatocyte(Liver),Prdx4
Igf1,6.11740730345455e-09,0.533275241367888,0.696,0.228,8.24259460067466e-05,Periportal (PP) hepatocyte(Liver),Igf1
Glud1,7.30823979577933e-09,0.405689583398119,0.609,0.17,9.84712230083308e-05,Periportal (PP) hepatocyte(Liver),Glud1
Sfxn1,1.068415776154e-08,0.250579632860099,0.304,0.048,0.00014395834167899,Periportal (PP) hepatocyte(Liver),Sfxn1
Clpx,9.44617254085596e-08,0.288847259084496,0.261,0.041,0.00127277728815493,Periportal (PP) hepatocyte(Liver),Clpx
Marc2,1.49140912140463e-07,0.276732345670558,0.391,0.085,0.00200952465018059,Periportal (PP) hepatocyte(Liver),Marc2
Uqcrq,2.21874665921761e-07,0.397608236612944,0.609,0.201,0.0029895392486298,Periportal (PP) hepatocyte(Liver),Uqcrq
Mdh1,2.29599740587051e-07,0.351480683373729,0.565,0.168,0.00309362690466993,Periportal (PP) hepatocyte(Liver),Mdh1
Hebp1,3.22832430497167e-07,0.267998665701803,0.391,0.087,0.00434984416851883,Periportal (PP) hepatocyte(Liver),Hebp1
Aldh2,5.99447376752756e-07,0.418727114402243,0.826,0.367,0.00807695395436663,Periportal (PP) hepatocyte(Liver),Aldh2
mt-Nd2,6.40565040597343e-07,0.481680214927016,1,0.902,0.0086309733570086,Periportal (PP) hepatocyte(Liver),mt-Nd2
Adh5,7.91098966784336e-07,0.266550439525439,0.391,0.092,0.0106592674784521,Periportal (PP) hepatocyte(Liver),Adh5
mt-Cytb,9.25557639104813e-07,0.562571883407883,0.957,0.957,0.0124709636292982,Periportal (PP) hepatocyte(Liver),mt-Cytb
Cox4i1,1.01803219305422e-06,0.351531778315109,0.609,0.197,0.0137169657692125,Periportal (PP) hepatocyte(Liver),Cox4i1
Chchd2,3.08984745929434e-06,0.458302305285201,0.565,0.198,0.0416326046665319,Periportal (PP) hepatocyte(Liver),Chchd2
