,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Mif,4.27281886574018e-17,0.301432169785029,0.508,0.204,5.75719613969832e-13,Pericentral (PC) hepatocytes(Liver),Mif
Cox4i12,1.01236702867724e-15,0.35418870361539,0.475,0.192,1.36406333443972e-11,Pericentral (PC) hepatocytes(Liver),Cox4i1
Cyb5r31,1.13055533946082e-15,0.252288974562044,0.373,0.126,1.52331026438951e-11,Pericentral (PC) hepatocytes(Liver),Cyb5r3
Cox7a2,4.6775531755643e-15,0.280249710533028,0.593,0.277,6.30253514875534e-11,Pericentral (PC) hepatocytes(Liver),Cox7a2
Ndufa21,5.01024850648492e-15,0.273281308663664,0.508,0.216,6.75080883763778e-11,Pericentral (PC) hepatocytes(Liver),Ndufa2
2010107E04Rik,1.1443395582469e-14,0.288908229296363,0.441,0.177,1.54188312078187e-10,Pericentral (PC) hepatocytes(Liver),2010107E04Rik
Uqcrh1,6.86644093461912e-14,0.272219517539198,0.585,0.278,9.2518425153058e-10,Pericentral (PC) hepatocytes(Liver),Uqcrh
Atp5j2,1.99176227440448e-13,0.28000777519358,0.5,0.223,2.68370048853259e-09,Pericentral (PC) hepatocytes(Liver),Atp5j2
Cox6a11,2.01974828081951e-12,0.280119022228292,0.661,0.374,2.72140883357621e-08,Pericentral (PC) hepatocytes(Liver),Cox6a1
Rpl36al1,3.13240159369236e-12,0.268326014335972,0.508,0.242,4.22059790734109e-08,Pericentral (PC) hepatocytes(Liver),Rpl36al
Psma7,5.53947258830013e-12,0.257338920106574,0.559,0.281,7.4638853654756e-08,Pericentral (PC) hepatocytes(Liver),Psma7
Slc25a5,7.37942385325667e-11,0.300576076021969,0.542,0.278,9.94303569987804e-07,Pericentral (PC) hepatocytes(Liver),Slc25a5
Cox8a1,9.88159788835319e-11,0.256815222791646,0.542,0.286,1.33144649947671e-06,Pericentral (PC) hepatocytes(Liver),Cox8a
Cox5a1,3.08417664162567e-10,0.257872012906102,0.737,0.459,4.15561960692643e-06,Pericentral (PC) hepatocytes(Liver),Cox5a
